epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.116,1.33617,2.57898,1.65636,0.84283,0.81057,0.85528,0.51695,1.45598,1.88627,1.96646,0.000157455,0.000157455,0.000157455
2,330.258,1.22672,1.24925,1.50858,0.85946,0.83697,0.88316,0.50363,1.59706,1.65436,1.99759,0.000312993,0.000312993,0.000312993
3,442.921,1.14105,1.01832,1.43101,0.81755,0.79912,0.85369,0.50167,1.56215,1.52042,2.00841,0.000465388,0.000465388,0.000465388
4,553.608,1.1185,0.91175,1.42329,0.91596,0.82589,0.87299,0.51706,1.56216,1.21181,1.95942,0.000461863,0.000461863,0.000461863
5,663.549,1.10154,0.83083,1.39557,0.86448,0.84535,0.87064,0.53699,1.48529,1.08949,1.94812,0.00045715,0.00045715,0.00045715
6,773.778,1.08488,0.75423,1.37512,0.84475,0.8258,0.86653,0.49855,1.53883,1.09662,1.94171,0.000452438,0.000452438,0.000452438
7,883.79,1.07404,0.70763,1.37002,0.81956,0.87298,0.90644,0.53058,1.50726,0.95935,1.85371,0.000447726,0.000447726,0.000447726
8,993.651,1.05271,0.68767,1.35812,0.95097,0.84332,0.8979,0.53899,1.50662,0.93384,1.91423,0.000443013,0.000443013,0.000443013
9,1109.64,1.03791,0.65003,1.34574,0.8639,0.84343,0.87953,0.54756,1.50068,0.89736,1.89359,0.000438301,0.000438301,0.000438301
10,1276.74,1.02664,0.62632,1.33153,0.91208,0.86532,0.92535,0.55379,1.53442,0.80202,1.88127,0.000433588,0.000433588,0.000433588
11,1389.65,1.01241,0.61099,1.33213,0.94731,0.85561,0.91956,0.57131,1.45112,0.75681,1.82662,0.000428876,0.000428876,0.000428876
12,1499.99,1.03769,0.60739,1.34201,0.96147,0.84743,0.92569,0.55212,1.4783,0.79996,1.86064,0.000424164,0.000424164,0.000424164
13,1611.62,1.00828,0.59509,1.32806,0.89912,0.8423,0.90099,0.53581,1.54362,0.81801,1.91287,0.000419451,0.000419451,0.000419451
14,1724.21,0.99735,0.56861,1.31247,0.95555,0.87624,0.92775,0.55662,1.44165,0.8007,1.82732,0.000414739,0.000414739,0.000414739
15,1849.09,0.9771,0.55864,1.30381,0.96718,0.87311,0.91983,0.56776,1.43373,0.73375,1.82129,0.000410026,0.000410026,0.000410026
16,1973.22,0.98649,0.54833,1.30472,0.94062,0.86292,0.89437,0.55777,1.46328,0.77362,1.83634,0.000405314,0.000405314,0.000405314
17,2083.36,0.9881,0.54563,1.31394,0.89449,0.84743,0.8877,0.54618,1.47894,0.81878,1.86555,0.000400602,0.000400602,0.000400602
18,2193.29,0.96478,0.5397,1.29713,0.91986,0.8317,0.88743,0.55215,1.4813,0.77272,1.85163,0.000395889,0.000395889,0.000395889
19,2303.18,0.97817,0.5322,1.297,0.88991,0.87427,0.88152,0.55984,1.47545,0.75341,1.84934,0.000391177,0.000391177,0.000391177
20,2427.24,0.95978,0.52259,1.29063,0.96322,0.87394,0.91032,0.55847,1.43109,0.72159,1.82143,0.000386464,0.000386464,0.000386464
21,2537.46,0.95414,0.50805,1.28754,0.93301,0.86325,0.93874,0.57146,1.42032,0.67629,1.79329,0.000381752,0.000381752,0.000381752
22,2645.95,0.95786,0.52001,1.29485,0.96493,0.84978,0.93631,0.58006,1.42174,0.69936,1.80273,0.00037704,0.00037704,0.00037704
23,2756.05,0.93574,0.49936,1.27212,0.92741,0.84926,0.90129,0.56393,1.45542,0.70009,1.82262,0.000372327,0.000372327,0.000372327
24,2865.87,0.94168,0.50697,1.28157,0.88582,0.85578,0.88917,0.54352,1.45855,0.76909,1.84653,0.000367615,0.000367615,0.000367615
25,2976.08,0.91817,0.49308,1.26398,0.94408,0.82269,0.91958,0.56912,1.48057,0.72315,1.87341,0.000362902,0.000362902,0.000362902
26,3086.07,0.93999,0.49413,1.27252,0.90457,0.80735,0.89116,0.55414,1.4489,0.72593,1.80287,0.00035819,0.00035819,0.00035819
27,3196.5,0.92799,0.49409,1.27047,0.92946,0.82618,0.89001,0.56013,1.47163,0.70984,1.85027,0.000353478,0.000353478,0.000353478
28,3307.24,0.90383,0.47467,1.2639,0.96009,0.82637,0.90362,0.56618,1.44679,0.70743,1.81133,0.000348765,0.000348765,0.000348765
29,3417.17,0.91877,0.48894,1.26581,0.91423,0.84484,0.90783,0.57093,1.48354,0.68042,1.88309,0.000344053,0.000344053,0.000344053
30,3527.01,0.919,0.47678,1.25591,0.89761,0.82615,0.90552,0.57388,1.43439,0.74851,1.83117,0.00033934,0.00033934,0.00033934
31,3636.81,0.91905,0.47078,1.25931,0.8953,0.86882,0.90369,0.56366,1.45312,0.69363,1.82121,0.000334628,0.000334628,0.000334628
32,3770.57,0.89404,0.4625,1.2471,0.91244,0.84979,0.91235,0.56035,1.46163,0.64516,1.79892,0.000329916,0.000329916,0.000329916
33,3880.44,0.89447,0.46519,1.247,0.90649,0.8551,0.91425,0.57236,1.47214,0.75644,1.86087,0.000325203,0.000325203,0.000325203
34,3990.28,0.89522,0.45987,1.25377,0.89417,0.83114,0.89551,0.56053,1.40991,0.73636,1.7987,0.000320491,0.000320491,0.000320491
35,4099.93,0.89805,0.45254,1.25375,0.90917,0.80468,0.8893,0.56536,1.46408,0.6641,1.86671,0.000315778,0.000315778,0.000315778
36,4209.88,0.89799,0.45515,1.24709,0.91612,0.85513,0.89962,0.55307,1.49338,0.68496,1.85722,0.000311066,0.000311066,0.000311066
37,4319.52,0.8866,0.45324,1.2436,0.91515,0.85704,0.89272,0.56734,1.46732,0.72477,1.83799,0.000306354,0.000306354,0.000306354
38,4429.09,0.88281,0.44902,1.24372,0.89997,0.85247,0.91775,0.56666,1.47599,0.66371,1.85998,0.000301641,0.000301641,0.000301641
39,4538.98,0.88558,0.4581,1.25131,0.89585,0.84751,0.9012,0.56362,1.45885,0.69644,1.85184,0.000296929,0.000296929,0.000296929
40,4648.73,0.8921,0.45119,1.23635,0.96551,0.83315,0.92191,0.56116,1.48775,0.69525,1.84066,0.000292216,0.000292216,0.000292216
41,4766.23,0.87561,0.44951,1.23607,0.92395,0.81075,0.88562,0.56243,1.45362,0.67637,1.843,0.000287504,0.000287504,0.000287504
42,4876.13,0.86784,0.44795,1.23702,0.96664,0.81759,0.90259,0.5725,1.4478,0.69049,1.86927,0.000282792,0.000282792,0.000282792
43,4986.13,0.87474,0.43868,1.23075,0.93899,0.85884,0.9047,0.56237,1.51977,0.71575,1.88366,0.000278079,0.000278079,0.000278079
44,5119.09,0.86916,0.438,1.22512,0.9029,0.82869,0.90474,0.57364,1.47717,0.7667,1.8734,0.000273367,0.000273367,0.000273367
